Etc/UTC,Open,High,Low,Close,Volume
2024-08-04T21:00:00+00:00,146.441,146.504,146.413,146.44,828900000
2024-08-04T22:00:00+00:00,146.468,146.563,145.983,146.322,20120290000
2024-08-04T23:00:00+00:00,146.319,146.343,145.279,145.589,39785950000
2024-08-05T00:00:00+00:00,145.589,145.94,145.179,145.512,56135480000
2024-08-05T01:00:00+00:00,145.512,145.592,144.762,145.106,43756730000
2024-08-05T02:00:00+00:00,145.104,145.548,145.037,145.136,35611460000
2024-08-05T03:00:00+00:00,145.133,145.155,144.163,144.361,36631850000
2024-08-05T04:00:00+00:00,144.36,144.427,142.176,143.165,50687540000
2024-08-05T05:00:00+00:00,143.165,143.551,142.41,142.66,49147740000
2024-08-05T06:00:00+00:00,142.649,143.11,141.676,142.749,32752590000
2024-08-05T07:00:00+00:00,142.751,143.986,142.717,143.478,31341290000
2024-08-05T08:00:00+00:00,143.474,143.56,142.001,142.395,25386570000
2024-08-05T09:00:00+00:00,142.399,142.574,141.741,142.287,40291240000
2024-08-05T10:00:00+00:00,142.29,142.466,141.906,142.369,29774930000
2024-08-05T11:00:00+00:00,142.37,142.962,142.242,142.306,37463480000
2024-08-05T12:00:00+00:00,142.304,142.466,141.831,142.246,43732350000
2024-08-05T13:00:00+00:00,142.25,142.982,142.1,142.714,38152190000
2024-08-05T14:00:00+00:00,142.726,143.843,142.54,142.655,56979240000
2024-08-05T15:00:00+00:00,142.656,143.99,142.333,143.962,43297100000
2024-08-05T16:00:00+00:00,143.961,144.887,143.893,144.178,42353740000
2024-08-05T17:00:00+00:00,144.181,144.602,143.901,144.007,38715100000
2024-08-05T18:00:00+00:00,144.008,144.159,143.388,143.457,25041810000
2024-08-05T19:00:00+00:00,143.451,143.853,143.441,143.739,21013820000
2024-08-05T20:00:00+00:00,143.738,144.273,143.701,144.137,9230460000
2024-08-05T21:00:00+00:00,144.129,144.174,144.018,144.039,849070000
2024-08-05T22:00:00+00:00,144.036,144.863,143.619,144.762,15486330000
2024-08-05T23:00:00+00:00,144.762,145.826,144.758,145.794,34042970000
2024-08-06T00:00:00+00:00,145.8,146.365,144.837,145.04,46904880000
2024-08-06T01:00:00+00:00,145.042,145.485,144.363,144.8,28957480000
2024-08-06T02:00:00+00:00,144.8,145.352,144.302,145.307,26397480000
2024-08-06T03:00:00+00:00,145.307,145.912,145.116,145.35,22525320000
2024-08-06T04:00:00+00:00,145.348,145.639,145.101,145.511,18584710000
2024-08-06T05:00:00+00:00,145.521,146.14,145.104,145.862,24938000000
2024-08-06T06:00:00+00:00,145.862,146.285,145.428,145.631,40165140000
2024-08-06T07:00:00+00:00,145.631,145.931,145.173,145.291,42365610000
2024-08-06T08:00:00+00:00,145.289,145.376,144.466,144.918,31543600000
2024-08-06T09:00:00+00:00,144.917,144.917,144.495,144.745,21314890000
2024-08-06T10:00:00+00:00,144.744,145.118,144.357,144.887,24471720000
2024-08-06T11:00:00+00:00,144.899,145.458,144.899,145.152,24092740000
2024-08-06T12:00:00+00:00,145.147,145.197,144.481,144.599,28729470000
2024-08-06T13:00:00+00:00,144.599,144.711,144.045,144.394,33699930000
2024-08-06T14:00:00+00:00,144.395,144.99,144.27,144.501,29593700000
2024-08-06T15:00:00+00:00,144.502,145.207,144.502,145.111,27726700000
2024-08-06T16:00:00+00:00,145.113,145.417,145.014,145.373,21940990000
2024-08-06T17:00:00+00:00,145.376,145.389,145.051,145.338,16775270000
2024-08-06T18:00:00+00:00,145.339,145.363,145.001,145.002,12584840000
2024-08-06T19:00:00+00:00,145.001,145.069,144.729,144.729,10257360000
2024-08-06T20:00:00+00:00,144.734,144.82,144.149,144.296,7921100000
2024-08-06T21:00:00+00:00,144.296,144.612,144.153,144.524,1343520000
2024-08-06T22:00:00+00:00,144.462,144.734,144.3,144.553,16607080000
2024-08-06T23:00:00+00:00,144.556,144.756,144.378,144.738,15734910000
2024-08-07T00:00:00+00:00,144.743,145.253,144.543,144.729,34631160000
2024-08-07T01:00:00+00:00,144.728,147.488,144.561,146.729,41591950000
2024-08-07T02:00:00+00:00,146.729,146.947,146.335,146.843,27633310000
2024-08-07T03:00:00+00:00,146.838,147.37,146.627,147.131,21699610000
2024-08-07T04:00:00+00:00,147.129,147.897,147.103,147.613,19528070000
2024-08-07T05:00:00+00:00,147.612,147.814,146.834,146.975,25416700000
2024-08-07T06:00:00+00:00,146.973,147.136,146.434,146.575,38459770000
2024-08-07T07:00:00+00:00,146.576,146.942,146.081,146.687,27630750000
2024-08-07T08:00:00+00:00,146.689,147.227,146.62,147.199,46061320000
2024-08-07T09:00:00+00:00,147.201,147.636,147.086,147.574,35739530000
2024-08-07T10:00:00+00:00,147.572,147.608,147.04,147.193,22725190000
2024-08-07T11:00:00+00:00,147.194,147.504,146.983,147.198,14759300000
2024-08-07T12:00:00+00:00,147.203,147.229,146.867,146.995,21432450000
