Etc/UTC,Open,High,Low,Close,Volume
2021-02-03T00:00:00+00:00,105.03,105.048,104.955,104.958,3757270000
2021-02-03T01:00:00+00:00,104.958,104.989,104.927,104.954,2694730000
2021-02-03T02:00:00+00:00,104.954,104.972,104.922,104.971,1819180000
2021-02-03T03:00:00+00:00,104.97,105.017,104.967,105.009,1407460000
2021-02-03T04:00:00+00:00,105.009,105.032,104.991,105.008,1264880000
2021-02-03T05:00:00+00:00,105.008,105.014,104.98,105.004,1014680000
2021-02-03T06:00:00+00:00,105.003,105.056,104.995,105.034,1334520000
2021-02-03T07:00:00+00:00,105.036,105.096,105.027,105.052,3532360000
2021-02-03T08:00:00+00:00,105.051,105.092,105.012,105.043,3846120000
2021-02-03T09:00:00+00:00,105.044,105.104,105.043,105.073,3312060000
2021-02-03T10:00:00+00:00,105.073,105.101,105.056,105.071,2046860000
2021-02-03T11:00:00+00:00,105.071,105.071,105.041,105.062,1512080000
2021-02-03T12:00:00+00:00,105.063,105.084,105.036,105.058,2757570000
2021-02-03T13:00:00+00:00,105.057,105.068,105,105.036,4529100000
2021-02-03T14:00:00+00:00,105.037,105.053,104.971,105.013,4956740000
2021-02-03T15:00:00+00:00,105.015,105.098,105.008,105.073,4225260000
2021-02-03T16:00:00+00:00,105.073,105.087,105.035,105.051,2176530000
2021-02-03T17:00:00+00:00,105.052,105.075,105.006,105.007,1737640000
2021-02-03T18:00:00+00:00,105.006,105.067,105.002,105.052,1389750000
2021-02-03T19:00:00+00:00,105.052,105.059,105.028,105.053,1124500000
2021-02-03T20:00:00+00:00,105.052,105.058,105.009,105.024,1587210000
2021-02-03T21:00:00+00:00,105.026,105.039,105.016,105.029,811080000
2021-02-03T22:00:00+00:00,105.025,105.036,105.011,105.029,1111610000
2021-02-03T23:00:00+00:00,105.028,105.033,104.985,104.996,1396990000
2021-02-04T00:00:00+00:00,104.996,105.067,104.975,105.053,2749150000
2021-02-04T01:00:00+00:00,105.052,105.078,105.011,105.07,2195370000
2021-02-04T02:00:00+00:00,105.071,105.078,105.025,105.057,1854350000
2021-02-04T03:00:00+00:00,105.058,105.13,105.053,105.114,2163880000
2021-02-04T04:00:00+00:00,105.116,105.138,105.098,105.131,1632730000
2021-02-04T05:00:00+00:00,105.131,105.19,105.122,105.143,1950640000
2021-02-04T06:00:00+00:00,105.143,105.201,105.143,105.198,1688940000
2021-02-04T07:00:00+00:00,105.197,105.26,105.188,105.193,4839430000
2021-02-04T08:00:00+00:00,105.194,105.242,105.143,105.23,5111480000
2021-02-04T09:00:00+00:00,105.229,105.278,105.203,105.232,4323030000
2021-02-04T10:00:00+00:00,105.232,105.29,105.205,105.285,3037040000
2021-02-04T11:00:00+00:00,105.286,105.339,105.269,105.335,2982610000
2021-02-04T12:00:00+00:00,105.335,105.336,105.242,105.249,4863060000
2021-02-04T13:00:00+00:00,105.25,105.315,105.216,105.306,3552540000
2021-02-04T14:00:00+00:00,105.304,105.424,105.293,105.39,5076950000
2021-02-04T15:00:00+00:00,105.391,105.493,105.37,105.417,5056010000
2021-02-04T16:00:00+00:00,105.418,105.462,105.401,105.427,2799030000
2021-02-04T17:00:00+00:00,105.428,105.493,105.428,105.45,2057280000
2021-02-04T18:00:00+00:00,105.451,105.501,105.43,105.497,1557030000
2021-02-04T19:00:00+00:00,105.496,105.529,105.485,105.524,1187540000
2021-02-04T20:00:00+00:00,105.523,105.564,105.507,105.546,2031560000
2021-02-04T21:00:00+00:00,105.546,105.563,105.52,105.52,1595900000
2021-02-04T22:00:00+00:00,105.514,105.565,105.514,105.523,739600000
2021-02-04T23:00:00+00:00,105.524,105.644,105.524,105.575,2520680000
2021-02-05T00:00:00+00:00,105.574,105.64,105.459,105.486,5444270000
2021-02-05T01:00:00+00:00,105.485,105.526,105.471,105.51,3529960000
