Etc/UTC,Open,High,Low,Close,Volume
2022-07-03T21:00:00+00:00,135.288,135.298,135.225,135.253,196820000
2022-07-03T22:00:00+00:00,135.244,135.314,135.124,135.133,4463060000
2022-07-03T23:00:00+00:00,135.136,135.253,134.989,135.001,11243930000
2022-07-04T00:00:00+00:00,134.999,135.104,134.869,134.915,13693270000
2022-07-04T01:00:00+00:00,134.915,135.133,134.78,135.022,14879460000
2022-07-04T02:00:00+00:00,135.022,135.069,134.925,135.01,15513560000
2022-07-04T03:00:00+00:00,135.011,135.177,135.005,135.169,6235500000
2022-07-04T04:00:00+00:00,135.171,135.171,135.064,135.119,9523420000
2022-07-04T05:00:00+00:00,135.12,135.35,135.11,135.304,9204580000
2022-07-04T06:00:00+00:00,135.305,135.52,135.261,135.42,12241030000
2022-07-04T07:00:00+00:00,135.42,135.484,135.323,135.442,12173750000
2022-07-04T08:00:00+00:00,135.444,135.454,135.245,135.329,10278810000
2022-07-04T09:00:00+00:00,135.33,135.544,135.325,135.456,7962920000
2022-07-04T10:00:00+00:00,135.454,135.46,135.339,135.388,7387970000
2022-07-04T11:00:00+00:00,135.388,135.423,135.258,135.322,7884910000
2022-07-04T12:00:00+00:00,135.322,135.451,135.286,135.403,7418660000
2022-07-04T13:00:00+00:00,135.402,135.538,135.392,135.52,6892850000
2022-07-04T14:00:00+00:00,135.52,135.747,135.468,135.729,10423000000
2022-07-04T15:00:00+00:00,135.73,135.772,135.659,135.68,8517280000
2022-07-04T16:00:00+00:00,135.68,135.718,135.667,135.697,4803410000
2022-07-04T17:00:00+00:00,135.697,135.709,135.677,135.703,2244580000
2022-07-04T18:00:00+00:00,135.701,135.714,135.678,135.701,4411480000
2022-07-04T19:00:00+00:00,135.7,135.723,135.662,135.686,3899310000
2022-07-04T20:00:00+00:00,135.691,135.72,135.637,135.637,4148930000
2022-07-04T21:00:00+00:00,135.661,135.721,135.412,135.714,4749760000
2022-07-04T22:00:00+00:00,135.715,135.832,135.684,135.715,5779100000
2022-07-04T23:00:00+00:00,135.714,135.973,135.711,135.863,5831190000
2022-07-05T00:00:00+00:00,135.862,136.148,135.786,136.047,12527900000
2022-07-05T01:00:00+00:00,136.046,136.359,135.979,136.33,13025560000
2022-07-05T02:00:00+00:00,136.33,136.341,136.125,136.171,9448440000
2022-07-05T03:00:00+00:00,136.169,136.261,136.075,136.126,8247890000
2022-07-05T04:00:00+00:00,136.127,136.304,136.115,136.246,8757620000
2022-07-05T05:00:00+00:00,136.246,136.323,136.216,136.24,7401790000
