Etc/UTC,Open,High,Low,Close,Volume
2025-08-03T21:00:00+00:00,147.24,147.25,147.19,147.203,429110000
2025-08-03T22:00:00+00:00,147.216,147.294,147.056,147.244,3691490000
2025-08-03T23:00:00+00:00,147.242,147.383,147.116,147.345,3836400000
2025-08-04T00:00:00+00:00,147.347,147.691,147.27,147.652,10034140000
2025-08-04T01:00:00+00:00,147.653,147.905,147.621,147.765,6643780000
2025-08-04T02:00:00+00:00,147.765,147.864,147.625,147.795,5533350000
2025-08-04T03:00:00+00:00,147.792,147.792,147.586,147.691,3571930000
2025-08-04T04:00:00+00:00,147.693,147.708,147.555,147.685,2430300000
2025-08-04T05:00:00+00:00,147.685,147.87,147.655,147.781,3386280000
2025-08-04T06:00:00+00:00,147.779,147.845,147.531,147.641,7629470000
2025-08-04T07:00:00+00:00,147.642,148.044,147.596,147.881,11489080000
2025-08-04T08:00:00+00:00,147.881,148.087,147.861,147.895,7009270000
2025-08-04T09:00:00+00:00,147.894,147.944,147.677,147.812,5813570000
2025-08-04T10:00:00+00:00,147.811,147.853,147.563,147.576,5503880000
2025-08-04T11:00:00+00:00,147.575,147.596,147.341,147.341,7014170000
2025-08-04T12:00:00+00:00,147.343,147.438,147.004,147.19,7854270000
2025-08-04T13:00:00+00:00,147.192,147.319,146.956,147.086,11155390000
2025-08-04T14:00:00+00:00,147.081,147.261,146.864,147.228,14283790000
2025-08-04T15:00:00+00:00,147.229,147.355,147.042,147.097,8590170000
2025-08-04T16:00:00+00:00,147.097,147.215,147.003,147.037,5803280000
2025-08-04T17:00:00+00:00,147.035,147.097,146.959,146.965,4020580000
2025-08-04T18:00:00+00:00,146.963,147.006,146.907,146.944,3896160000
2025-08-04T19:00:00+00:00,146.945,147.058,146.908,147.028,3693020000
2025-08-04T20:00:00+00:00,147.027,147.111,146.954,147.068,2840740000
2025-08-04T21:00:00+00:00,147.074,147.111,146.989,147.059,478100000
2025-08-04T22:00:00+00:00,147.085,147.091,146.876,146.912,2024060000
2025-08-04T23:00:00+00:00,146.912,146.932,146.693,146.791,3588600000
2025-08-05T00:00:00+00:00,146.789,147.034,146.617,146.926,8255870000
2025-08-05T01:00:00+00:00,146.926,147.111,146.883,147.053,5614960000
2025-08-05T02:00:00+00:00,147.054,147.229,147.039,147.187,4451840000
2025-08-05T03:00:00+00:00,147.188,147.259,147.133,147.216,3185350000
2025-08-05T04:00:00+00:00,147.215,147.262,147.002,147.083,3456660000
2025-08-05T05:00:00+00:00,147.082,147.24,147.057,147.173,5180020000
2025-08-05T06:00:00+00:00,147.173,147.341,147.032,147.326,6480780000
2025-08-05T07:00:00+00:00,147.324,147.487,147.156,147.387,7403450000
2025-08-05T08:00:00+00:00,147.388,147.634,147.334,147.58,7418740000
2025-08-05T09:00:00+00:00,147.582,147.639,147.451,147.627,4922770000
2025-08-05T10:00:00+00:00,147.628,147.774,147.58,147.62,4731060000
2025-08-05T11:00:00+00:00,147.621,147.695,147.545,147.631,4212290000
2025-08-05T12:00:00+00:00,147.631,147.756,147.543,147.662,9389240000
2025-08-05T13:00:00+00:00,147.663,147.834,147.506,147.727,10723350000
2025-08-05T14:00:00+00:00,147.668,147.732,147.354,147.448,19632240000
2025-08-05T15:00:00+00:00,147.448,147.567,147.304,147.494,9710140000
2025-08-05T16:00:00+00:00,147.493,147.591,147.428,147.546,6011440000
2025-08-05T17:00:00+00:00,147.545,147.652,147.484,147.619,4294640000
2025-08-05T18:00:00+00:00,147.62,147.68,147.591,147.607,5249700000
2025-08-05T19:00:00+00:00,147.609,147.704,147.581,147.607,2705050000
2025-08-05T20:00:00+00:00,147.608,147.617,147.499,147.601,2658970000
2025-08-05T21:00:00+00:00,147.601,147.601,147.498,147.548,1789420000
2025-08-05T22:00:00+00:00,147.548,147.638,147.543,147.561,1207050000
2025-08-05T23:00:00+00:00,147.562,147.643,147.515,147.526,1862900000
2025-08-06T00:00:00+00:00,147.524,147.621,147.447,147.583,5464170000
2025-08-06T01:00:00+00:00,147.582,147.728,147.582,147.696,4088180000
2025-08-06T02:00:00+00:00,147.695,147.748,147.524,147.556,4516030000
2025-08-06T03:00:00+00:00,147.554,147.557,147.335,147.399,3719580000
2025-08-06T04:00:00+00:00,147.4,147.447,147.304,147.346,2736180000
2025-08-06T05:00:00+00:00,147.347,147.543,147.334,147.45,3600230000
2025-08-06T06:00:00+00:00,147.45,147.551,147.361,147.55,5610690000
2025-08-06T07:00:00+00:00,147.552,147.692,147.53,147.563,5849490000
2025-08-06T08:00:00+00:00,147.561,147.842,147.556,147.807,5925550000
2025-08-06T09:00:00+00:00,147.81,147.885,147.713,147.823,5062840000
2025-08-06T10:00:00+00:00,147.825,147.841,147.558,147.58,5476370000
