Etc/UTC,Open,High,Low,Close,Volume
2025-07-03T00:00:00+00:00,143.519,143.609,143.443,143.586,8312200000
2025-07-03T01:00:00+00:00,143.585,143.69,143.487,143.549,5689690000
2025-07-03T02:00:00+00:00,143.551,143.763,143.545,143.681,2915360000
2025-07-03T03:00:00+00:00,143.682,143.879,143.673,143.848,3243680000
2025-07-03T04:00:00+00:00,143.849,143.852,143.76,143.837,2706570000
2025-07-03T05:00:00+00:00,143.84,143.927,143.765,143.861,3254480000
2025-07-03T06:00:00+00:00,143.857,143.931,143.753,143.772,5406350000
2025-07-03T07:00:00+00:00,143.774,143.917,143.67,143.859,5046860000
2025-07-03T08:00:00+00:00,143.861,143.894,143.77,143.876,4538670000
2025-07-03T09:00:00+00:00,143.88,143.894,143.825,143.855,4362300000
2025-07-03T10:00:00+00:00,143.856,143.861,143.737,143.847,3169170000
2025-07-03T11:00:00+00:00,143.846,143.896,143.814,143.863,3696150000
2025-07-03T12:00:00+00:00,143.863,145.232,143.725,145.007,20690470000
2025-07-03T13:00:00+00:00,145.002,145.067,144.608,144.741,18778400000
2025-07-03T14:00:00+00:00,144.741,145.132,144.635,145.095,17649940000
2025-07-03T15:00:00+00:00,145.094,145.161,144.815,144.968,10466410000
2025-07-03T16:00:00+00:00,144.967,145.212,144.946,145.052,5268310000
2025-07-03T17:00:00+00:00,145.053,145.09,144.995,145.074,1668050000
2025-07-03T18:00:00+00:00,145.073,145.116,145.013,145.105,1618900000
2025-07-03T19:00:00+00:00,145.106,145.116,144.983,145.035,1446370000
2025-07-03T20:00:00+00:00,145.042,145.084,144.909,144.912,3598610000
2025-07-03T21:00:00+00:00,144.915,144.966,144.906,144.919,213360000
2025-07-03T22:00:00+00:00,144.92,144.967,144.869,144.869,1897920000
2025-07-03T23:00:00+00:00,144.869,144.926,144.683,144.707,2540710000
2025-07-04T00:00:00+00:00,144.707,144.781,144.57,144.604,6197830000
2025-07-04T01:00:00+00:00,144.603,144.782,144.579,144.76,4954550000
2025-07-04T02:00:00+00:00,144.758,144.79,144.599,144.648,2993160000
2025-07-04T03:00:00+00:00,144.648,144.667,144.46,144.521,2880920000
2025-07-04T04:00:00+00:00,144.522,144.526,144.324,144.375,4392790000
2025-07-04T05:00:00+00:00,144.375,144.399,144.306,144.336,3263730000
2025-07-04T06:00:00+00:00,144.333,144.427,144.181,144.245,7545410000
2025-07-04T07:00:00+00:00,144.244,144.428,144.238,144.408,7314150000
2025-07-04T08:00:00+00:00,144.407,144.416,144.282,144.341,5952570000
2025-07-04T09:00:00+00:00,144.339,144.373,144.276,144.313,4682790000
2025-07-04T10:00:00+00:00,144.313,144.384,144.282,144.343,4138450000
2025-07-04T11:00:00+00:00,144.343,144.401,144.303,144.393,4878090000
2025-07-04T12:00:00+00:00,144.392,144.445,144.355,144.423,3177020000
2025-07-04T13:00:00+00:00,144.424,144.507,144.385,144.459,4510390000
2025-07-04T14:00:00+00:00,144.46,144.568,144.41,144.521,9885740000
2025-07-04T15:00:00+00:00,144.522,144.554,144.507,144.531,12450870000
2025-07-04T16:00:00+00:00,144.531,144.547,144.479,144.497,6482250000
2025-07-04T17:00:00+00:00,144.495,144.525,144.467,144.468,10781310000
2025-07-04T18:00:00+00:00,144.468,144.512,144.468,144.477,4671240000
2025-07-04T19:00:00+00:00,144.478,144.58,144.437,144.566,8752000000
