Etc/UTC,Open,High,Low,Close,Volume
2021-07-04T21:00:00+00:00,110.9,111.004,110.9,111.004,213410000
2021-07-04T22:00:00+00:00,110.995,111.149,110.968,111.148,2621750000
2021-07-04T23:00:00+00:00,111.146,111.157,111.109,111.14,1692960000
2021-07-05T00:00:00+00:00,111.141,111.189,111.108,111.141,3831190000
2021-07-05T01:00:00+00:00,111.14,111.156,111.05,111.057,2783050000
2021-07-05T02:00:00+00:00,111.055,111.128,111.055,111.089,1905630000
2021-07-05T03:00:00+00:00,111.091,111.123,111.076,111.119,1235030000
2021-07-05T04:00:00+00:00,111.12,111.143,111.12,111.136,1334000000
2021-07-05T05:00:00+00:00,111.137,111.141,111.102,111.138,818670000
2021-07-05T06:00:00+00:00,111.139,111.144,110.965,110.97,3133420000
2021-07-05T07:00:00+00:00,110.97,111.06,110.898,110.911,4381450000
2021-07-05T08:00:00+00:00,110.911,110.923,110.849,110.9,3795720000
2021-07-05T09:00:00+00:00,110.9,110.912,110.8,110.836,3714190000
2021-07-05T10:00:00+00:00,110.836,110.855,110.803,110.819,2631260000
2021-07-05T11:00:00+00:00,110.819,110.881,110.796,110.843,2608230000
2021-07-05T12:00:00+00:00,110.843,110.935,110.843,110.925,2968520000
2021-07-05T13:00:00+00:00,110.924,110.975,110.904,110.954,2740550000
2021-07-05T14:00:00+00:00,110.955,110.978,110.932,110.941,2090120000
2021-07-05T15:00:00+00:00,110.941,110.946,110.902,110.907,1721650000
2021-07-05T16:00:00+00:00,110.905,110.922,110.891,110.895,1333770000
2021-07-05T17:00:00+00:00,110.896,110.927,110.872,110.907,19862900000
2021-07-05T18:00:00+00:00,110.907,110.921,110.888,110.893,9440380000
2021-07-05T19:00:00+00:00,110.892,110.97,110.888,110.95,17616350000
2021-07-05T20:00:00+00:00,110.95,110.985,110.949,110.951,6775560000
2021-07-05T21:00:00+00:00,110.951,110.968,110.938,110.966,297960000
2021-07-05T22:00:00+00:00,110.965,110.965,110.9,110.927,1112320000
2021-07-05T23:00:00+00:00,110.925,110.957,110.909,110.916,1045330000
2021-07-06T00:00:00+00:00,110.917,110.929,110.809,110.862,3815760000
2021-07-06T01:00:00+00:00,110.86,110.88,110.786,110.815,3230010000
2021-07-06T02:00:00+00:00,110.816,110.86,110.79,110.851,2550420000
2021-07-06T03:00:00+00:00,110.851,110.871,110.825,110.842,1716780000
2021-07-06T04:00:00+00:00,110.843,110.862,110.829,110.832,2245720000
2021-07-06T05:00:00+00:00,110.832,110.842,110.791,110.819,1941850000
2021-07-06T06:00:00+00:00,110.817,110.879,110.764,110.869,4129230000
2021-07-06T07:00:00+00:00,110.869,110.916,110.748,110.773,5800440000
2021-07-06T08:00:00+00:00,110.774,110.859,110.747,110.789,6506690000
2021-07-06T09:00:00+00:00,110.789,110.847,110.76,110.795,4701830000
2021-07-06T10:00:00+00:00,110.793,110.803,110.679,110.699,3740980000
2021-07-06T11:00:00+00:00,110.697,110.725,110.607,110.654,3999000000
2021-07-06T12:00:00+00:00,110.653,110.741,110.595,110.716,6562720000
2021-07-06T13:00:00+00:00,110.718,110.803,110.663,110.735,8388320000
