time,open,high,low,close,Up,Down,Daily High,Daily Low
1756242000,147.387,148.184,147.293,147.416,,,148.184,147.293
1756328400,147.414,147.49,146.66,146.944,,,147.49,146.66
1756414800,146.9,147.41,146.764,147.066,,,147.41,146.764
1756674000,147.017,147.38,146.788,147.18,,,147.38,146.788
1756760400,147.206,148.945,147.048,148.338,,,148.945,147.048
1756846800,148.336,149.138,147.882,148.109,,,149.138,147.882
1756933200,148.07,148.779,147.792,148.464,,,148.779,147.792
1757019600,148.512,148.536,146.818,147.418,,,148.536,146.818
1757278800,148.187,148.58,147.342,147.53,,,148.58,147.342
1757365200,147.503,147.573,146.307,147.403,,,147.573,146.307
1757451600,147.364,147.647,147.105,147.465,,,147.647,147.105
1757538000,147.396,148.192,146.988,147.226,,,148.192,146.988
1757624400,147.221,148.074,147.122,147.672,,,148.074,147.122
1757883600,147.63,147.791,147.232,147.418,,,147.791,147.232
1757970000,147.343,147.541,146.278,146.456,,,147.541,146.278
1758056400,146.478,147.051,145.483,146.999,,,147.051,145.483
1758142800,146.965,148.268,146.768,147.996,,,148.268,146.768
1758229200,147.944,148.288,147.196,147.956,,,148.288,147.196
1758488400,147.919,148.378,147.659,147.736,,,148.378,147.659
1758574800,147.775,147.93,147.463,147.658,,,147.93,147.463
1758661200,147.618,148.918,147.516,148.909,,,148.918,147.516
1758747600,148.864,149.93,148.56,149.799,,,149.93,148.56
1758834000,149.841,149.96,149.406,149.519,,,149.96,149.406
1759093200,149.5,149.536,148.472,148.598,,,149.536,148.472
1759179600,148.611,148.847,147.652,147.94,,,148.847,147.652
1759266000,147.85,148.227,146.586,147.071,,,148.227,146.586
1759352400,147.068,147.516,146.6,147.264,,,147.516,146.6
1759438800,147.264,147.819,147.06,147.49,,,147.819,147.06
1759698000,149.413,150.477,149.046,150.35,,,150.477,149.046
1759784400,150.314,152.046,150.25,151.9,,,152.046,150.25
1759870800,151.932,153.003,151.74,152.697,,,153.003,151.74
1759957200,152.72,153.236,152.116,153.084,,,153.236,152.116
1760043600,152.957,153.278,151.168,151.174,,,153.278,151.168
1760302800,151.882,152.452,151.724,152.3,,,152.452,151.724
1760389200,152.221,152.614,151.604,151.81,,,152.614,151.604
1760475600,151.802,151.878,150.9,151.072,,,151.878,150.9
1760562000,151.084,151.399,150.212,150.436,,,151.399,150.212
1760648400,150.415,150.65,149.376,150.65,,,150.65,149.376
1760907600,150.469,151.204,150.274,150.766,,,151.204,150.274
1760994000,150.707,152.176,150.472,151.926,,,152.176,150.472
1761080400,151.898,152.048,151.488,151.964,,,152.048,151.488
1761166800,151.944,152.799,151.824,152.596,,,152.799,151.824
1761253200,152.587,153.064,152.235,152.882,,,153.064,152.235
1761512400,152.858,153.258,152.566,152.88,,,153.258,152.566
1761598800,152.862,152.885,151.76,152.115,,,152.885,151.76
1761685200,152.119,153.064,151.538,152.74,,,153.064,151.538
1761771600,152.694,154.449,152.163,154.149,,,154.449,152.163
1761858000,154.136,154.416,153.653,154.017,,,154.416,153.653
1762120800,154.043,154.3,153.926,154.212,,,154.3,153.926
1762207200,154.25,154.486,153.318,153.665,,,154.486,153.318
1762293600,153.668,154.357,152.958,154.114,,,154.357,152.958
1762380000,154.106,154.142,152.832,153.072,,,154.142,152.832
1762466400,153.041,153.596,152.82,153.419,,,153.596,152.82
1762725600,153.75,154.25,153.404,154.132,,,154.25,153.404
1762812000,154.062,154.496,153.666,154.156,,,154.496,153.666
1762898400,154.13,155.047,154.05,154.815,,,155.047,154.05
1762984800,154.773,155.02,154.128,154.536,,,155.02,154.128
1763071200,154.499,154.764,153.617,154.524,,,154.764,153.617
1763330400,154.575,155.31,154.419,155.264,,,155.31,154.419
1763416800,155.239,155.735,154.816,155.522,,,155.735,154.816
1763503200,155.5,157.186,155.215,157.169,,,157.186,155.215
1763589600,157.144,157.895,156.88,157.466,,,157.895,156.88
1763676000,157.506,157.543,156.202,156.409,,,157.543,156.202
1763935200,156.443,157.188,156.407,156.922,,,157.188,156.407
1764021600,156.861,156.984,155.804,156.073,,,156.984,155.804
1764108000,156,156.738,155.652,156.47,,,156.738,155.652
1764194400,156.481,156.49,155.72,156.303,,,156.49,155.72
1764280800,156.29,156.583,155.984,156.191,,,156.583,155.984
1764540000,156.12,156.153,154.663,155.484,,,156.153,154.663
1764626400,155.474,156.181,155.429,155.884,,,156.181,155.429
1764712800,155.875,155.906,155.01,155.229,,,155.906,155.01
