time,open,high,low,close,Up,Down,Daily High,Daily Low
1752184800,146.242,147.523,146.137,147.382,,,147.523,146.137
1752444000,147.293,147.78,146.853,147.676,,,147.78,146.853
1752530400,147.674,149.023,147.554,148.823,,,149.023,147.554
1752616800,148.795,149.186,146.912,147.795,,,149.186,146.912
1752703200,147.8,149.087,147.73,148.518,,,149.087,147.73
1752789600,148.507,148.885,148.188,148.749,,,148.885,148.188
1753048800,148.197,148.665,147.084,147.342,,,148.665,147.084
1753135200,147.336,147.947,146.309,146.57,,,147.947,146.309
1753221600,146.569,147.215,146.113,146.424,,,147.215,146.113
1753308000,146.415,147.107,145.857,147.09,,,147.107,145.857
1753394400,147.087,147.941,146.817,147.622,,,147.941,146.817
1753653600,147.756,148.579,147.521,148.532,,,148.579,147.521
1753740000,148.548,148.808,148.161,148.432,,,148.808,148.161
1753826400,148.439,149.554,147.806,149.416,,,149.554,147.806
1753912800,149.416,150.842,148.591,150.705,,,150.842,148.591
1753999200,150.705,150.919,147.295,147.375,,,150.919,147.295
1754258400,147.254,148.088,146.867,147.046,,,148.088,146.867
1754344800,147.064,147.835,146.623,147.569,,,147.835,146.623
1754431200,147.564,147.886,146.979,147.331,,,147.886,146.979
1754517600,147.333,147.711,146.693,147.021,,,147.711,146.693
1754604000,147.008,147.904,146.725,147.693,,,147.904,146.725
1754863200,147.523,148.252,147.353,148.094,,,148.252,147.353
1754949600,148.094,148.519,147.581,147.827,,,148.519,147.581
1755036000,147.828,148.169,147.09,147.276,,,148.169,147.09
1755122400,147.274,147.962,146.219,147.756,,,147.962,146.219
1755208800,147.76,147.868,146.741,147.177,,,147.868,146.741
1755468000,147.019,147.985,147.019,147.811,,,147.985,147.019
1755554400,147.8,148.114,147.445,147.559,,,148.114,147.445
1755640800,147.571,147.817,146.874,147.309,,,147.817,146.874
1755727200,147.309,148.407,147.259,148.351,,,148.407,147.259
1755813600,148.344,148.778,146.574,146.903,,,148.778,146.574
1756072800,146.799,147.938,146.799,147.665,,,147.938,146.799
1756159200,147.662,147.908,146.992,147.38,,,147.908,146.992
1756245600,147.371,148.183,147.28,147.389,,,148.183,147.28
