time,open,high,low,close,Up,Down,Daily High,Daily Low
1752008400,146.5985,147.1815,146.251,146.333,,,147.1815,146.251
1752094800,146.333,146.788,145.7565,146.2585,,,146.788,145.7565
1752181200,146.2585,147.524,146.1335,147.436,,,147.524,146.1335
1752440400,147.436,147.782,146.852,147.722,,,147.782,146.852
1752526800,147.722,149.0195,147.553,148.8785,,,149.0195,147.553
1752613200,148.8785,149.187,146.914,147.8795,,,149.187,146.914
1752699600,147.8795,149.088,147.7285,148.606,,,149.088,147.7285
1752786000,148.606,148.886,148.1875,148.806,,,148.886,148.1875
1753045200,148.806,148.806,147.0845,147.374,,,148.806,147.0845
1753131600,147.374,147.95,146.313,146.627,,,147.95,146.313
1753218000,146.627,147.2145,146.1105,146.512,,,147.2145,146.1105
1753304400,146.512,147.027,145.856,147.0155,,,147.027,145.856
1753390800,147.0155,147.941,146.8175,147.6745,,,147.941,146.8175
1753650000,147.6745,148.5795,147.5185,148.531,,,148.5795,147.5185
1753736400,148.531,148.8095,148.1595,148.46,,,148.8095,148.1595
1753822800,148.46,149.5395,147.807,149.493,,,149.5395,147.807
1753909200,149.493,150.8415,148.589,150.7395,,,150.8415,148.589
1753995600,150.7395,150.9185,147.2935,147.399,,,150.9185,147.2935
1754254800,147.399,148.0905,146.8675,147.0885,,,148.0905,146.8675
1754341200,147.0885,147.8355,146.6215,147.606,,,147.8355,146.6215
1754427600,147.606,147.886,146.9795,147.343,,,147.886,146.9795
1754514000,147.343,147.7125,146.692,147.1365,,,147.7125,146.692
1754600400,147.1365,147.9055,146.725,147.736,,,147.9055,146.725
1754859600,147.736,148.2535,147.3525,148.1405,,,148.2535,147.3525
1754946000,148.1405,148.521,147.5805,147.839,,,148.521,147.5805
1755032400,147.839,148.1695,147.0885,147.413,,,148.1695,147.0885
1755118800,147.413,147.966,146.2165,147.776,,,147.966,146.2165
1755205200,147.776,147.892,146.7395,147.1985,,,147.892,146.7395
1755464400,147.1985,147.9865,147.084,147.8795,,,147.9865,147.084
1755550800,147.8795,148.1155,147.4455,147.65,,,148.1155,147.4455
1755637200,147.65,147.818,146.873,147.329,,,147.818,146.873
1755723600,147.329,148.407,147.257,148.346,,,148.407,147.257
1755810000,148.346,148.778,146.5755,146.948,,,148.778,146.5755
1756069200,146.948,147.9395,146.8035,147.7975,,,147.9395,146.8035
1756155600,147.7975,147.909,146.99,147.38,,,147.909,146.99
1756242000,147.38,148.1855,147.293,147.4045,,,148.1855,147.293
1756328400,147.4045,147.4915,146.6605,146.911,,,147.4915,146.6605
1756414800,146.911,147.4115,146.7655,147.047,,,147.4115,146.7655
1756674000,147.047,147.3815,146.787,147.1805,,,147.3815,146.787
1756760400,147.1805,148.945,147.0475,148.3335,,,148.945,147.0475
1756846800,148.3335,149.1375,147.88,148.111,,,149.1375,147.88
1756933200,148.111,148.7795,147.7925,148.4905,,,148.7795,147.7925
1757019600,148.4905,148.5555,146.82,147.421,,,148.5555,146.82
1757278800,147.421,148.5785,147.3415,147.511,,,148.5785,147.3415
1757365200,147.511,147.5465,146.31,147.3975,,,147.5465,146.31
1757451600,147.3975,147.648,147.1095,147.469,,,147.648,147.1095
1757538000,147.469,148.197,146.988,147.2085,,,148.197,146.988
1757624400,147.2085,148.077,147.122,147.706,,,148.077,147.122
1757883600,147.706,147.799,147.233,147.4005,,,147.799,147.233
1757970000,147.4005,147.541,146.279,146.488,,,147.541,146.279
1758056400,146.488,147.0515,145.4845,146.9945,,,147.0515,145.4845
1758142800,146.9945,148.2685,146.771,147.9745,,,148.2685,146.771
1758229200,147.9745,148.2845,147.197,147.952,,,148.2845,147.197
1758488400,147.952,148.378,147.659,147.7195,,,148.378,147.659
1758574800,147.7195,147.9295,147.463,147.629,,,147.9295,147.463
1758661200,147.629,148.917,147.5165,148.902,,,148.917,147.5165
1758747600,148.902,149.93,148.561,149.8135,,,149.93,148.561
1758834000,149.8135,149.9595,149.406,149.522,,,149.9595,149.406
1759093200,149.522,149.522,148.472,148.6025,,,149.522,148.472
1759179600,148.6025,148.8485,147.6525,147.877,,,148.8485,147.6525
1759266000,147.877,148.226,146.5875,147.071,,,148.226,146.5875
1759352400,147.071,147.5165,146.601,147.2645,,,147.5165,146.601
1759438800,147.2645,147.8195,147.0945,147.4535,,,147.8195,147.0945
1759698000,147.4535,150.4785,147.4535,150.344,,,150.4785,147.4535
1759784400,150.344,152.046,150.235,151.919,,,152.046,150.235
1759870800,151.919,153.001,151.74,152.685,,,153.001,151.74
1759957200,152.685,153.234,152.1115,153.0765,,,153.234,152.1115
1760043600,153.0765,153.275,151.1595,151.181,,,153.275,151.1595
1760302800,151.181,152.4505,151.181,152.252,,,152.4505,151.181
1760389200,152.252,152.6145,151.606,151.844,,,152.6145,151.606
1760475600,151.844,151.876,150.9015,151.061,,,151.876,150.9015
1760562000,151.061,151.3995,150.2135,150.421,,,151.3995,150.2135
1760648400,150.421,150.6405,149.3775,150.604,,,150.6405,149.3775
1760907600,150.604,151.205,150.2775,150.726,,,151.205,150.2775
1760994000,150.726,152.1765,150.471,151.9005,,,152.1765,150.471
1761080400,151.9005,152.0465,151.4905,151.975,,,152.0465,151.4905
1761166800,151.975,152.798,151.8225,152.5625,,,152.798,151.8225
1761253200,152.5625,153.0645,152.27,152.8525,,,153.0645,152.27
1761512400,152.8525,153.257,152.5675,152.871,,,153.257,152.5675
1761598800,152.871,152.892,151.76,152.108,,,152.892,151.76
1761685200,152.108,153.0625,151.5405,152.7315,,,153.0625,151.5405
1761771600,152.7315,154.449,152.1645,154.1285,,,154.449,152.1645
1761858000,154.1285,154.415,153.654,154.003,,,154.415,153.654
1762120800,154.003,154.299,153.91,154.248,,,154.299,153.91
1762207200,154.248,154.485,153.317,153.6625,,,154.485,153.317
1762293600,153.6625,154.357,152.9625,154.1355,,,154.357,152.9625
1762380000,154.1355,154.142,152.833,153.058,,,154.142,152.833
1762466400,153.058,153.597,152.8215,153.423,,,153.597,152.8215
1762725600,153.423,154.251,153.4035,154.1395,,,154.251,153.4035
1762812000,154.1395,154.4955,153.668,154.1375,,,154.4955,153.668
1762898400,154.1375,155.0465,154.0515,154.8145,,,155.0465,154.0515
1762984800,154.8145,155.0185,154.128,154.561,,,155.0185,154.128
