date,reference_source,symbol,open,high,low,close,range_pips,close_change_pips,abs_close_change_pips,body_size_pips,body_pct_of_range,candle_direction,break_previous_high,break_previous_low,week_high_so_far,week_low_so_far,previous_week_high,previous_week_low,range_ytd_rank,abs_close_move_ytd_rank,ytd_observation_count,is_event_date,is_prior_20_window,prior_20_observation_count,prior_20_avg_range_pips,prior_20_median_range_pips,prior_20_max_range_pips,range_vs_prior_20_avg,range_vs_prior_20_median,range_vs_prior_20_max
2026-01-02,FXCM,USDJPY,156.852,157.00199999999998,156.56099999999998,156.80499999999998,44.10000000000025,-4.700000000002547,4.700000000002547,4.700000000002547,0.10657596371887801,DOWN,True,False,157.00199999999998,155.744,157.709,155.553,131,140,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-05,FXCM,USDJPY,156.697,157.29899999999998,156.11499999999998,156.33499999999998,118.39999999999975,-46.999999999999886,46.999999999999886,36.20000000000232,0.30574324324326346,DOWN,True,True,157.29899999999998,156.11499999999998,157.00199999999998,155.744,38,55,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-06,FXCM,USDJPY,156.33499999999998,156.796,156.164,156.596,63.2000000000005,26.10000000000241,26.10000000000241,26.10000000000241,0.41297468354433864,UP,False,False,157.29899999999998,156.11499999999998,157.00199999999998,155.744,97,82,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-07,FXCM,USDJPY,156.596,156.809,156.29299999999998,156.744,51.600000000001955,14.799999999999613,14.799999999999613,14.799999999999613,0.2868217054263382,UP,True,False,157.29899999999998,156.11499999999998,157.00199999999998,155.744,121,113,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-08,FXCM,USDJPY,156.744,157.072,156.458,156.82899999999998,61.40000000000043,8.499999999997954,8.499999999997954,8.499999999997954,0.13843648208465625,UP,True,False,157.29899999999998,156.11499999999998,157.00199999999998,155.744,99,128,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-09,FXCM,USDJPY,156.82899999999998,158.18699999999998,156.757,157.91799999999998,142.99999999999784,108.89999999999986,108.89999999999986,108.89999999999986,0.761538461538472,UP,True,False,158.18699999999998,156.11499999999998,157.00199999999998,155.744,25,19,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-12,FXCM,USDJPY,158.072,158.206,157.515,158.128,69.10000000000025,21.000000000000796,21.000000000000796,5.599999999998317,0.08104196816205929,UP,True,False,158.206,157.515,158.18699999999998,156.11499999999998,91,94,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-13,FXCM,USDJPY,158.128,159.19,157.89399999999998,159.063,129.60000000000207,93.50000000000023,93.50000000000023,93.50000000000023,0.7214506172839409,UP,True,False,159.19,157.515,158.18699999999998,156.11499999999998,31,22,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-14,FXCM,USDJPY,159.063,159.45399999999998,158.094,158.427,135.99999999999852,-63.59999999999957,63.59999999999957,63.59999999999957,0.4676470588235313,DOWN,True,False,159.45399999999998,157.515,158.18699999999998,156.11499999999998,27,41,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-15,FXCM,USDJPY,158.427,158.879,158.179,158.632,69.99999999999886,20.50000000000125,20.50000000000125,20.50000000000125,0.29285714285716546,UP,False,False,159.45399999999998,157.515,158.18699999999998,156.11499999999998,89,99,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-16,FXCM,USDJPY,158.632,158.703,157.81699999999998,158.066,88.60000000000241,-56.60000000000025,56.60000000000025,56.60000000000025,0.6388261851015656,DOWN,False,True,159.45399999999998,157.515,158.18699999999998,156.11499999999998,61,45,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-19,FXCM,USDJPY,157.757,158.165,157.42499999999998,158.135,74.00000000000091,6.89999999999884,6.89999999999884,37.79999999999859,0.5108108108107855,UP,False,True,158.165,157.42499999999998,159.45399999999998,157.515,83,133,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-20,FXCM,USDJPY,158.135,158.60399999999998,157.463,158.114,114.09999999999911,-2.0999999999986585,2.0999999999986585,2.0999999999986585,0.01840490797544851,DOWN,True,False,158.60399999999998,157.42499999999998,159.45399999999998,157.515,40,144,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-21,FXCM,USDJPY,158.114,158.535,157.747,158.239,78.79999999999825,12.5,12.5,12.5,0.158629441624369,UP,False,False,158.60399999999998,157.42499999999998,159.45399999999998,157.515,78,116,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-22,FXCM,USDJPY,158.239,158.89399999999998,158.179,158.33599999999998,71.4999999999975,9.699999999997999,9.699999999997999,9.699999999997999,0.13566433566431244,UP,True,False,158.89399999999998,157.42499999999998,159.45399999999998,157.515,88,125,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-01-23,FXCM,USDJPY,158.33599999999998,159.225,155.6,155.741,362.5,-259.49999999999704,259.49999999999704,259.49999999999704,0.7158620689655091,DOWN,True,True,159.225,155.6,159.45399999999998,157.515,3,3,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
